carClassNbr,rn,age,cnt,percent
3715,2,30대,2,28.5
3715,1,40대,4,57.1
3715,3,법인및사업자,1,14.2
3716,2,30대,1,33.3
3716,1,50대,2,66.6
3717,3,30대,1,20
3717,1,50대,2,40
3717,2,법인및사업자,2,40
3718,4,20대,1,14.2
3718,1,40대,2,28.5
3718,2,50대,2,28.5
3718,3,법인및사업자,2,28.5
3720,4,30대,2,10.5
3720,1,40대,6,31.5
3720,5,50대,2,10.5
3720,2,60대,6,31.5
3720,3,법인및사업자,3,15.7
3722,4,20대,1,3.5
3722,5,30대,1,3.5
3722,2,40대,7,25
3722,3,50대,4,14.2
3722,1,법인및사업자,15,53.5
3723,1,50대,2,100
3724,2,30대,1,25
3724,3,50대,1,25
3724,1,법인및사업자,2,50
3725,2,50대,3,14.2
3725,3,60대,3,14.2
3725,1,법인및사업자,15,71.4
3726,5,20대,1,8.3
3726,1,30대,3,25
3726,3,40대,2,16.6
3726,6,50대,1,8.3
3726,4,60대,2,16.6
3726,2,법인및사업자,3,25
3727,1,법인및사업자,1,100
3728,2,30대,11,23.4
3728,3,40대,11,23.4
3728,4,50대,6,12.7
3728,1,법인및사업자,19,40.4
3729,1,20대,1,100
3730,1,40대,1,33.3
3730,2,50대,1,33.3
3730,3,법인및사업자,1,33.3
3731,1,30대,2,28.5
3731,2,40대,2,28.5
3731,3,50대,2,28.5
3731,4,60대,1,14.2
3733,1,40대,2,100
3735,2,30대,1,14.2
3735,3,40대,1,14.2
3735,4,50대,1,14.2
3735,5,60대,1,14.2
3735,1,법인및사업자,3,42.8
3736,3,20대,1,7.6
3736,2,50대,5,38.4
3736,4,60대,1,7.6
3736,1,법인및사업자,6,46.1
3737,1,법인및사업자,2,100
3738,1,30대,1,33.3
3738,2,50대,1,33.3
3738,3,60대,1,33.3
3739,5,20대,1,1.3
3739,6,30대,1,1.3
3739,2,40대,17,23.6
3739,1,50대,25,34.7
3739,3,60대,15,20.8
3739,4,법인및사업자,13,18
3740,6,20대,3,4.8
3740,5,30대,6,9.6
3740,1,40대,17,27.4
3740,3,50대,12,19.3
3740,4,60대,8,12.9
3740,2,법인및사업자,16,25.8
3741,6,20대,1,5
3741,4,30대,2,10
3741,1,40대,6,30
3741,5,50대,2,10
3741,2,60대,6,30
3741,3,법인및사업자,3,15
3742,4,30대,6,6.9
3742,3,40대,8,9.3
3742,5,50대,5,5.8
3742,2,60대,10,11.6
3742,1,법인및사업자,57,66.2
3744,6,20대,1,1.7
3744,5,30대,2,3.5
3744,3,40대,12,21
3744,2,50대,15,26.3
3744,4,60대,10,17.5
3744,1,법인및사업자,17,29.8
3748,1,60대,1,50
3748,2,법인및사업자,1,50
3751,6,20대,1,2.9
3751,2,30대,6,17.6
3751,4,40대,5,14.7
3751,3,50대,6,17.6
3751,5,60대,5,14.7
3751,1,법인및사업자,11,32.3
3753,1,법인및사업자,1,100
3754,6,20대,4,2.3
3754,5,30대,9,5.3
3754,4,40대,29,17.2
3754,1,50대,52,30.9
3754,3,60대,30,17.8
3754,2,법인및사업자,44,26.1
3755,6,20대,3,1.1
3755,5,30대,8,3
3755,4,40대,33,12.6
3755,3,50대,43,16.4
3755,2,60대,50,19.1
3755,1,법인및사업자,124,47.5
3756,6,20대,12,5.3
3756,5,30대,17,7.5
3756,4,40대,27,11.9
3756,2,50대,39,17.2
3756,3,60대,36,15.9
3756,1,법인및사업자,95,42
3757,1,30대,3,75
3757,2,60대,1,25
3758,2,50대,1,20
3758,1,법인및사업자,4,80
3759,6,20대,2,6.6
3759,5,30대,3,10
3759,3,40대,4,13.3
3759,1,50대,9,30
3759,4,60대,4,13.3
3759,2,법인및사업자,8,26.6
3760,5,30대,6,6.9
3760,3,40대,19,22
3760,2,50대,23,26.7
3760,4,60대,10,11.6
3760,1,법인및사업자,28,32.5
3761,6,20대,3,1.5
3761,5,30대,9,4.5
3761,3,40대,39,19.8
3761,2,50대,54,27.5
3761,4,60대,31,15.8
3761,1,법인및사업자,60,30.6
3762,3,40대,1,14.2
3762,1,50대,4,57.1
3762,2,법인및사업자,2,28.5
3763,6,20대,1,2.9
3763,5,30대,4,11.7
3763,2,40대,8,23.5
3763,1,50대,9,26.4
3763,3,60대,7,20.5
3763,4,법인및사업자,5,14.7
3766,6,20대,3,1.8
3766,5,30대,10,6.1
3766,3,40대,33,20.3
3766,2,50대,36,22.2
3766,1,60대,47,29
3766,4,법인및사업자,33,20.3
3767,6,20대,2,2.5
3767,5,30대,7,8.9
3767,2,40대,18,23
3767,3,50대,17,21.7
3767,1,60대,19,24.3
3767,4,법인및사업자,15,19.2
3768,6,20대,1,3.2
3768,5,30대,3,9.6
3768,3,40대,5,16.1
3768,2,50대,8,25.8
3768,4,60대,4,12.9
3768,1,법인및사업자,10,32.2
3769,2,20대,4,18.1
3769,3,30대,3,13.6
3769,4,40대,2,9
3769,5,50대,2,9
3769,6,60대,1,4.5
3769,1,법인및사업자,10,45.4
3770,1,법인및사업자,1,100
3771,1,40대,3,75
3771,2,60대,1,25
3772,5,30대,1,6.6
3772,1,40대,4,26.6
3772,2,50대,4,26.6
3772,3,60대,4,26.6
3772,4,법인및사업자,2,13.3
3773,5,30대,2,9
3773,4,40대,3,13.6
3773,1,50대,8,36.3
3773,2,60대,5,22.7
3773,3,법인및사업자,4,18.1
3774,5,20대,2,4.3
3774,6,30대,2,4.3
3774,2,40대,10,21.7
3774,1,50대,19,41.3
3774,4,60대,6,13
3774,3,법인및사업자,7,15.2
3775,5,30대,10,10.8
3775,1,40대,25,27.1
3775,3,50대,22,23.9
3775,4,60대,11,11.9
3775,2,법인및사업자,24,26
3776,4,30대,2,8.3
3776,2,40대,3,12.5
3776,3,50대,3,12.5
3776,1,법인및사업자,16,66.6
3777,6,20대,2,5.5
