carClassNbr,trvlDstnc,avgPrice,cnt,percent
3715,6,4650,3,42.8
3715,11,120,1,14.2
3715,12,700,1,14.2
3715,16,2720,2,28.5
3716,13,60,1,100
3717,11,410,1,20
3717,16,350,1,20
3717,21,300,1,20
3717,32,140,2,40
3718,11,330,1,14.2
3718,13,490,2,28.5
3718,15,540,1,14.2
3718,22,180,1,14.2
3718,27,600,1,14.2
3718,40,130,1,14.2
3720,10,170,4,21
3720,11,180,3,15.7
3720,12,250,2,10.5
3720,13,210,2,10.5
3720,16,130,2,10.5
3720,17,80,1,5.2
3720,18,250,1,5.2
3720,21,220,1,5.2
3720,23,80,1,5.2
3720,30,150,1,5.2
3720,56,120,1,5.2
3722,3,540,1,3.8
3722,5,310,1,3.8
3722,8,320,4,15.3
3722,9,100,1,3.8
3722,11,350,4,15.3
3722,12,320,6,23
3722,13,380,4,15.3
3722,14,80,1,3.8
3722,15,870,1,3.8
3722,17,100,1,3.8
3722,18,120,2,7.6
3723,16,400,1,50
3723,22,450,1,50
3724,3,1600,1,25
3724,8,500,1,25
3724,10,450,1,25
3724,16,90,1,25
3725,5,210,2,10
3725,7,300,1,5
3725,8,170,4,20
3725,12,170,3,15
3725,13,170,2,10
3725,15,190,2,10
3725,18,210,1,5
3725,19,180,1,5
3725,20,220,2,10
3725,21,150,1,5
3725,23,220,1,5
3726,7,570,1,8.3
3726,10,500,1,8.3
3726,12,430,4,33.3
3726,13,650,3,25
3726,14,280,1,8.3
3726,17,460,1,8.3
3726,23,500,1,8.3
3727,13,180,1,100
3728,2,470,2,4.2
3728,9,350,2,4.2
3728,10,380,2,4.2
3728,11,450,1,2.1
3728,12,350,3,6.3
3728,13,310,1,2.1
3728,14,290,5,10.6
3728,15,190,1,2.1
3728,16,210,4,8.5
3728,17,300,1,2.1
3728,18,150,1,2.1
3728,19,240,4,8.5
3728,20,300,1,2.1
3728,21,280,1,2.1
3728,22,230,2,4.2
3728,23,280,4,8.5
3728,24,220,3,6.3
3728,25,100,2,4.2
3728,26,190,3,6.3
3728,27,160,1,2.1
3728,28,280,1,2.1
3728,30,160,1,2.1
3728,45,180,1,2.1
3729,23,690,1,100
3730,19,280,2,66.6
3730,38,100,1,33.3
3731,10,2450,1,14.2
3731,11,1740,2,28.5
3731,14,1500,1,14.2
3731,17,840,2,28.5
3731,22,1250,1,14.2
