"faqNbr","carClassNbr","faqCarNbr","faqCarNm","question","answer"
1,,4142,BYD 씨라이언 7,(LFP 배터리)겨울철에 불편하지 않을까요?,"일반적으로 LFP 배터리가 NCM 배터리보다 저온 성능이 떨어지는 게 당연합니다만, 씨라이언 7은 비교적 안심해도 될 듯합니다. 저온 1회 충전 주행가능거리가 상온 1회 충전 주행가능거리의 96.7%인 385km나 되기 때문이죠."
2,,4142,BYD 씨라이언 7,중국차인데 위험하지 않을까요?,씨라이언 7은 2025년 유럽 안전도 평가 프로그램 유로앤캡에서 최고점인 별 다섯 개 평가를 받았습니다. 더구나 유로앤캡에서 시험한 모든 BYD 모델이 하나같이 최고등급을 받으면서 제조사의 우수한 차체 설계 실력을 입증했습니다.
3,,4142,BYD 씨라이언 7,생소한 브랜드인데 AS는 괜찮을까요?,아직 절대적으로 부족하긴 합니다. BYD는 2025년 10월 기준 전국에 15개 서비스센터를 운영하고 있습니다. 지프와 푸조를 판매하는 스텔란티스코리아와 같은 숫자죠. 2025년 안으로 25개까지 늘린다고 하니 점점 서비스망은 나아지리라 예상합니다.
4,,4142,BYD 씨라이언 7,주행 질감이 의심스러워요,"타보기 전엔 그랬습니다. 타본 뒤 반응은 대다수 전문가가 한결같았죠. ‘잘 만들었다.’ 비틀림 강성이 4만500Nm/deg에 달하는 강건한 차체에 알루미늄 소재를 적극 활용한 하체, 그리고 주파수 감응형 댐퍼, 2.2t 넘는 묵직한 무게가 어우러져 고급스럽습니다."
5,7210,4122,도요타 프리우스 5세대,"19인치 휠 때문에 연비가 부족할까요?","이전 세대의 15인치보다 무려 4인치 더 큰 휠이니까요. 이전 세대의 경우 2WD 모델 복합 연비가 22.44km/L였는데요, 신형은 같은 2WD 모델 연비가 20.9km/L입니다. 결코 작은 차이는 아닙니다. 그래도 196마력 최고 출력을 생각하면 손해는 아니라고 생각합니다"
6,7210,4122,도요타 프리우스 5세대,패밀리카로 탈 수 있을까요?,"물론입니다. 프리우스가 속한 준중형 C세그먼트는 세계적으로 가장 합리적인 패밀리카로 각광받는 크기니까요. 4세대보다 높이를 40mm나 낮춰 전반적인 공간은 줄어들었다는 평이 많지만, 5세대는 길이와 너비를 늘려 낮은 높이의 단점을 최대한 상쇄했습니다. "
7,7210,4122,도요타 프리우스 5세대,LE와 XLE의 차이가 뭔가요?,"LE 모델은 실용적으로 경제성에 집중한 저가 모델, XLE는 우리나라 시장 선호도가 높은 편의 장비를 담아낸 고급 모델입니다. LE엔 인조가죽 시트, 파노라믹 글래스 루프, 메모리 시트, 전동 시트, 1열 열선 및 통풍 시트 등이 빠집니다."
8,7210,4122,도요타 프리우스 5세대,구형보다 드문드문 보이는 이유가??,"프리우스의 국내 판매량이 많지 않기 때문입니다. 2023년 12월 13일 출시한 따끈따끈한 신차였는데도 2024년 한 해 동안 판매량은 하이브리드 766대, 플러그인 하이브리드 161대로 겨우 927대였습니다.국산  하이브리드 대중화에 따른 약화와 가격 정책 때문입니다."
9,7128,4103,"기아 스포티지 5세대
                하이브리드",투싼보다 연비가 나쁘겠죠?,"두 차 모두 전기형 모델 기준 각각 길이가 4630mm, 4660mm 더 크지만 의아하게도 연비가 비슷합니다. 하이브리드 스포티지가 0.5km/L 더 높죠. 반면 가솔린은 0.2km/L 낮고, 디젤은 같습니다. 하이브리드 모델이 1년 늦게 추릿한 혜택이 톡톡히 봤다고 해야할까요? "
10,7128,4103,"기아 스포티지 5세대
                하이브리드",LPI 모델을 살 이유가 있을까요?,"146마력/19.5kgf·m 성능은 분명 요즘 기준으로 충분치 않은 성능입니다. 도로 위 택시에게는 알맞은 힘일지라도 더 무겁고 커다란 바퀴를 굴리는 스포티지에게는 넉넉지 않죠. 연비는 낮지만 휘발유의 60%에 불과한 LPG 가격, 정비성 등 이점이 많습니다."
