carClassNbr,rn,gender,cnt,percent
3715,1,남자,5,71.4
3715,3,여자,1,14.3
3715,2,법인및사업자,1,14.3
3716,2,남자,1,33.3
3716,1,여자,2,66.7
3717,1,남자,3,60
3717,2,법인및사업자,2,40
3718,1,남자,4,57.1
3718,3,여자,1,14.3
3718,2,법인및사업자,2,28.6
3720,1,남자,14,73.7
3720,3,여자,2,10.5
3720,2,법인및사업자,3,15.8
3722,2,남자,8,28.6
3722,3,여자,5,17.9
3722,1,법인및사업자,15,53.6
3723,1,남자,1,50
3723,2,여자,1,50
3724,1,남자,2,50
3724,2,법인및사업자,2,50
3725,2,남자,6,28.6
3725,1,법인및사업자,15,71.4
3726,1,남자,9,75
3726,2,법인및사업자,3,25
3727,1,법인및사업자,1,100
3728,1,남자,22,46.8
3728,3,여자,6,12.8
3728,2,법인및사업자,19,40.4
3729,1,남자,1,100
3730,1,남자,2,66.7
3730,2,법인및사업자,1,33.3
3731,1,남자,5,71.4
3731,2,여자,2,28.6
3733,1,남자,2,100
3735,1,남자,4,57.1
3735,2,법인및사업자,3,42.9
3736,1,남자,6,46.2
3736,3,여자,1,7.7
3736,2,법인및사업자,6,46.2
3737,1,법인및사업자,2,100
3738,1,남자,3,100
3739,1,남자,49,68.1
3739,3,여자,10,13.9
3739,2,법인및사업자,13,18.1
3740,1,남자,35,56.5
3740,3,여자,11,17.7
3740,2,법인및사업자,16,25.8
3741,1,남자,15,75
3741,3,여자,2,10
3741,2,법인및사업자,3,15
3742,2,남자,22,25.6
3742,3,여자,7,8.1
3742,1,법인및사업자,57,66.3
3744,1,남자,30,52.6
3744,3,여자,10,17.5
3744,2,법인및사업자,17,29.8
3748,1,남자,1,50
3748,2,법인및사업자,1,50
3751,1,남자,21,61.8
3751,3,여자,2,5.9
3751,2,법인및사업자,11,32.4
3753,1,법인및사업자,1,100
3754,1,남자,94,56
3754,3,여자,30,17.9
3754,2,법인및사업자,44,26.2
3755,2,남자,113,43.3
3755,3,여자,24,9.2
3755,1,법인및사업자,124,47.5
3756,1,남자,104,46
3756,3,여자,27,11.9
3756,2,법인및사업자,95,42
3757,1,남자,4,100
3758,2,남자,1,20
3758,1,법인및사업자,4,80
3759,1,남자,17,56.7
3759,3,여자,5,16.7
3759,2,법인및사업자,8,26.7
3760,1,남자,49,57
3760,3,여자,9,10.5
3760,2,법인및사업자,28,32.6
3761,1,남자,103,52.6
3761,3,여자,33,16.8
3761,2,법인및사업자,60,30.6
3762,1,남자,3,42.9
3762,3,여자,2,28.6
3762,2,법인및사업자,2,28.6
3763,1,남자,24,70.6
3763,3,여자,5,14.7
3763,2,법인및사업자,5,14.7
3766,1,남자,106,65.4
3766,3,여자,23,14.2
3766,2,법인및사업자,33,20.4
3767,1,남자,50,64.1
3767,3,여자,13,16.7
3767,2,법인및사업자,15,19.2
3768,1,남자,20,64.5
3768,3,여자,1,3.2
3768,2,법인및사업자,10,32.3
3769,1,남자,11,50
3769,3,여자,1,4.5
3769,2,법인및사업자,10,45.5
3770,1,법인및사업자,1,100
3771,1,남자,3,75
3771,2,여자,1,25
3772,1,남자,10,66.7
3772,2,여자,3,20
3772,3,법인및사업자,2,13.3
3773,1,남자,12,54.5
3773,2,여자,6,27.3
3773,3,법인및사업자,4,18.2
3774,1,남자,27,58.7
3774,2,여자,12,26.1
3774,3,법인및사업자,7,15.2
3775,1,남자,49,53.3
