carClassNbr,rn,address,cnt,percent
3715,1,경기도 수원시 권선구,1,14.2
3715,2,서울특별시 강남구,1,14.2
3715,3,서울특별시 강서구,1,14.2
3715,4,서울특별시 성북구,1,14.2
3715,5,서울특별시 양천구,1,14.2
3716,1,강원특별자치도 춘천시,1,33.3
3716,2,경기도 안성시,1,33.3
3716,3,서울특별시 양천구,1,33.3
3717,1,강원특별자치도 속초시,1,20
3717,2,경기도 용인시 기흥구,1,20
3717,3,경상북도 경산시,1,20
3717,4,경상북도 칠곡군,1,20
3717,5,충청북도 충주시,1,20
3718,1,경기도 수원시 권선구,2,28.5
3718,2,경기도 고양시 일산동구,1,14.2
3718,3,경기도 파주시,1,14.2
3718,4,서울특별시 도봉구,1,14.2
3718,5,인천광역시 미추홀구,1,14.2
3720,1,경기도 김포시,2,10.5
3720,2,대전광역시 서구,2,10.5
3720,3,강원특별자치도 삼척시,1,5.2
3720,4,경기도 부천시 오정구,1,5.2
3720,5,경기도 수원시 권선구,1,5.2
3722,1,경기도 수원시 권선구,4,14.2
3722,2,경기도 파주시,3,10.7
3722,3,서울특별시 강서구,3,10.7
3722,4,경기도 김포시,2,7.1
3722,5,서울특별시 서초구,2,7.1
3723,1,서울특별시 서대문구,1,50
3723,2,세종특별자치시 세종특별자치시,1,50
3724,1,경기도 남양주시,1,25
3724,2,경기도 수원시 권선구,1,25
3724,3,서울특별시 강서구,1,25
3724,4,서울특별시 성동구,1,25
3725,1,경기도 광주시,4,19
3725,2,인천광역시 서구,3,14.2
3725,3,경기도 시흥시,2,9.5
3725,4,울산광역시 북구,2,9.5
3725,5,경기도 수원시 권선구,1,4.7
3726,1,경기도 수원시 권선구,2,16.6
3726,2,경기도 남양주시,1,8.3
3726,3,경기도 의정부시,1,8.3
3726,4,경상남도 의령군,1,8.3
3726,5,대구광역시 달서구,1,8.3
3727,1,경기도 수원시 권선구,1,100
3728,1,경기도 수원시 권선구,7,14.8
3728,2,경기도 부천시 오정구,5,10.6
3728,3,경기도 안성시,4,8.5
3728,4,인천광역시 부평구,4,8.5
3728,5,경기도 부천시 원미구,3,6.3
3729,1,서울특별시 송파구,1,100
3730,1,경기도 광주시,1,33.3
3730,2,서울특별시 은평구,1,33.3
3730,3,전북특별자치도 전주시 덕진구,1,33.3
3731,1,경기도 수원시 권선구,3,42.8
3731,2,경상남도 창원시 의창구,1,14.2
